epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51253.1,1.27753,0.88353,1.31019,0.82594,0.6819,0.75061,0.41583,1.40936,0.93015,1.43714,0.000660045,0.000660045,0.000660045
43,51991.7,1.25645,0.85059,1.30112,0.81809,0.68419,0.75348,0.41435,1.42633,0.93507,1.44382,0.000649046,0.000649046,0.000649046
44,52725.5,1.25816,0.85181,1.30112,0.8531,0.66917,0.75742,0.42579,1.40526,0.93147,1.44073,0.000638047,0.000638047,0.000638047
45,53467.2,1.25421,0.84234,1.29875,0.82227,0.6975,0.76141,0.42393,1.41047,0.92507,1.45574,0.000627048,0.000627048,0.000627048
46,54202.4,1.25378,0.84296,1.29778,0.77926,0.6906,0.73813,0.41009,1.41221,0.96226,1.43777,0.000616049,0.000616049,0.000616049
47,54926,1.23781,0.84053,1.29459,0.83596,0.67811,0.7507,0.41385,1.41596,0.93009,1.45468,0.000605051,0.000605051,0.000605051
48,55655.5,1.23086,0.8387,1.29336,0.83772,0.68802,0.75411,0.42134,1.39142,0.91768,1.40729,0.000594052,0.000594052,0.000594052
49,56386.7,1.23945,0.82776,1.28512,0.8118,0.69357,0.75515,0.4199,1.4325,0.93884,1.44282,0.000583053,0.000583053,0.000583053
50,57123.5,1.22707,0.81606,1.28148,0.82761,0.69033,0.75216,0.41918,1.42233,0.91446,1.43435,0.000572054,0.000572054,0.000572054
51,57861.5,1.23233,0.82809,1.2853,0.82395,0.70061,0.75665,0.42686,1.38515,0.88804,1.43948,0.000561055,0.000561055,0.000561055
52,58590.1,1.22575,0.80138,1.2783,0.8307,0.69423,0.7545,0.42151,1.41378,0.8994,1.42875,0.000550056,0.000550056,0.000550056
53,59365.3,1.21808,0.80903,1.27436,0.82336,0.69408,0.75674,0.41854,1.40761,0.89679,1.43023,0.000539057,0.000539057,0.000539057
54,87594.7,1.21239,0.79967,1.2758,0.84624,0.70267,0.77171,0.42863,1.40666,0.87,1.43826,0.000528058,0.000528058,0.000528058
